MAP|Precision_1|Precision_5|Precision_10|Recall_1|Recall_5|Recall_10
0.1896|0.3267|0.2823|0.2516|0.0192|0.0815|0.1413
0.1889|0.3250|0.2786|0.2494|0.0200|0.0799|0.1380
0.1891|0.3301|0.2795|0.2501|0.0200|0.0802|0.1399
0.1888|0.3219|0.2797|0.2496|0.0195|0.0800|0.1398
0.1879|0.3270|0.2765|0.2484|0.0196|0.0794|0.1390
