MAP|Precision_1|Precision_5|Precision_10|Recall_1|Recall_5|Recall_10
0.0324|0.0562|0.0399|0.0327|0.0098|0.0321|0.0516
0.0325|0.0584|0.0411|0.0334|0.0099|0.0336|0.0528
0.0327|0.0606|0.0418|0.0333|0.0103|0.0339|0.0525
0.0324|0.0579|0.0397|0.0321|0.0103|0.0320|0.0514
0.0323|0.0585|0.0402|0.0326|0.0103|0.0325|0.0514
